Year,Quarter,Month,Day,Sum of Close_Pct_Change,Sum of Low,Sum of Volume,Sum of Quarter
1978,Qtr 2,June,28,0.0124490958431962,-1.8579444671945975,-0.8855734204895405,6
1978,Qtr 2,June,29,0.01176252222351648,-1.854159757018567,-0.8855734204895405,6
1978,Qtr 2,June,30,0.0038975809459770305,-1.8530608550191707,-0.8855734204895405,6
1978,Qtr 3,July,3,-0.0014058804754456533,-1.8510998133143954,-0.8855734204895405,9
1978,Qtr 3,July,4,-0.0001726503941025248,-0.22848828408991628,-0.29519114016318015,3
1978,Qtr 3,July,5,-0.01376165606209201,-1.850253355168829,-0.8855734204895405,9
1978,Qtr 3,July,6,-0.0012408530432843623,-1.848981359996086,-0.8855734204895405,9
1978,Qtr 3,July,7,0.01441424629595689,-1.8453306360287383,-0.8855734204895405,9
1978,Qtr 3,July,10,0.008365555291323767,-1.843437756174667,-0.8855734204895405,9
1978,Qtr 3,July,11,0.009757154539769441,-1.8433182695458141,-0.8855734204895405,9
1978,Qtr 3,July,12,0.007093779773686082,-1.8431619286828522,-0.8855734204895405,9
1978,Qtr 3,July,13,0.001261092215751658,-1.843452266140376,-0.8855734204895405,9
1978,Qtr 3,July,14,0.023371425424813852,-1.841937906776426,-0.8855734204895405,9
1978,Qtr 3,July,17,0.009603174752121468,-1.8408781116300168,-0.8855734204895405,9
1978,Qtr 3,July,18,-0.01088940543907635,-1.8415414937628043,-0.8855734204895405,9
1978,Qtr 3,July,19,0.01854276614122341,-1.840194681736421,-0.8855734204895405,9
1978,Qtr 3,July,20,0.007204048507377325,-1.6204149140179114,-0.5903822803263603,9
1978,Qtr 3,July,21,-0.008808377278858859,-1.8432758141962493,-0.8855734204895405,9
1978,Qtr 3,July,24,-0.007069893899649848,-1.847358719026098,-0.8855734204895405,9
1978,Qtr 3,July,25,0.005928735887724468,-1.84861391062912,-0.8855734204895405,9
1978,Qtr 3,July,26,0.014042401693218132,-1.8467009118765563,-0.8855734204895405,9
1978,Qtr 3,July,27,0.010393345093854922,-1.8463067158571334,-0.8855734204895405,9
1978,Qtr 3,July,28,0.009445870698369996,-1.8455964351172662,-0.8855734204895405,9
1978,Qtr 3,July,31,0.01705897117113442,-1.8424293243346663,-0.8855734204895405,9
1978,Qtr 3,August,1,0.0013861050097342398,-1.8441301144618354,-0.8855734204895405,9
1978,Qtr 3,August,2,0.025820114281387085,-1.8464139298395292,-0.8855734204895405,9
1978,Qtr 3,August,3,0.012974759773226374,-1.8453038263909534,-0.8855734204895405,9
1978,Qtr 3,August,4,0.012702548879959252,-1.8427464815925014,-0.8855734204895405,9
1978,Qtr 3,August,7,-0.0018904832313875186,-1.8449397611452452,-0.8855734204895405,9
1978,Qtr 3,August,8,-0.005030351928374088,-1.8519307138606362,-0.8855734204895405,9
1978,Qtr 3,August,9,0.01151769287417348,-1.8527492913944923,-0.8855734204895405,9
1978,Qtr 3,August,10,-0.004519223849420162,-1.8514516155177922,-0.8855734204895405,9
1978,Qtr 3,August,11,0.007507351780793536,-1.8505313968629395,-0.8855734204895405,9
1978,Qtr 3,August,14,0.002357219153965584,-1.849864685218514,-0.8855734204895405,9
1978,Qtr 3,August,15,-0.005156481380074518,-1.8515599243728018,-0.8855734204895405,9
1978,Qtr 3,August,16,0.014633232063472112,-1.8504945368216732,-0.8855734204895405,9
1978,Qtr 3,August,17,0.013564752543270941,-1.8509345410426068,-0.8855734204895405,9
1978,Qtr 3,August,18,0.0027843863406791236,-1.850389574564747,-0.8855734204895405,9
1978,Qtr 3,August,21,-0.012199435317818863,-1.8490997100971351,-0.8855734204895405,9
1978,Qtr 3,August,22,0.005161700298795813,-1.8482331278042983,-0.8855734204895405,9
1978,Qtr 3,August,23,0.012891580786705825,-1.8475049889371735,-0.8855734204895405,9
1978,Qtr 3,August,24,0.0033723304288236777,-1.8491756370113404,-0.8855734204895405,9
1978,Qtr 3,August,25,0.00468480975677843,-1.8484128940721116,-0.8855734204895405,9
1978,Qtr 3,August,28,-0.013982475812345685,-1.8495754479940576,-0.8855734204895405,9
1978,Qtr 3,August,29,-0.0060403048359265465,-1.847604377104263,-0.8855734204895405,9
1978,Qtr 3,August,30,0.007972283513666856,-1.844161414261103,-0.8855734204895405,9
1978,Qtr 3,August,31,0.004750446569115052,-1.841159534318454,-0.8855734204895405,9
1978,Qtr 3,September,1,0.008313186812212159,-1.8393146512943597,-0.8855734204895405,9
1978,Qtr 3,September,4,0.006804099141235698,-0.22003770681884025,-0.29519114016318015,3
1978,Qtr 3,September,5,0.007785758309380109,-1.8341976696569091,-0.8855734204895405,9
1978,Qtr 3,September,6,0.015786183963641398,-1.833920677606586,-0.8855734204895405,9
1978,Qtr 3,September,7,0.007971325597465828,-1.8322176152055423,-0.8855734204895405,9
1978,Qtr 3,September,8,0.014451011712274808,-1.8357734008522058,-0.8855734204895405,9
1978,Qtr 3,September,11,0.011922566805593116,-1.8321997483675476,-0.8855734204895405,9
1978,Qtr 3,September,12,0.005955737819941742,-1.8297306081551836,-0.8855734204895405,9
1978,Qtr 3,September,13,-0.005252388850967682,-1.8301259338901672,-0.8855734204895405,9
1978,Qtr 3,September,14,-0.01831087927998276,-1.8312203959823323,-0.8855734204895405,9
1978,Qtr 3,September,15,-0.016514288333250304,-1.6144793241356734,-0.5903822803263603,9
1978,Qtr 3,September,18,-0.020015524842288746,-1.831508515440572,-0.8855734204895405,9
1978,Qtr 3,September,19,-0.02201914001617833,-1.834330535530825,-0.8855734204895405,9
1978,Qtr 3,September,20,-0.024868345619454835,-1.8385396391706328,-0.8855734204895405,9
1978,Qtr 3,September,21,-0.00327936455815514,-1.8383989397757585,-0.8855734204895405,9
1978,Qtr 3,September,22,0.004106197370908449,-1.8368410175702294,-0.8855734204895405,9
1978,Qtr 3,September,25,0.0031622679625115113,-1.834069229060654,-0.8855734204895405,9
1978,Qtr 3,September,26,0.01925755638824711,-1.8299126542908473,-0.8855734204895405,9
1978,Qtr 3,September,27,-0.007711397336604864,-1.8256522044310763,-0.8855734204895405,9
1978,Qtr 3,September,28,0.006324270228713846,-1.8236721925283088,-0.8855734204895405,9
1978,Qtr 3,September,29,0.01445606525162102,-1.8211918739837203,-0.8855734204895405,9
1978,Qtr 4,October,2,0.00801143806752469,-1.8199612043333049,-0.8855734204895405,12
1978,Qtr 4,October,3,-0.004754702427995583,-1.8203431483663515,-0.8855734204895405,12
1978,Qtr 4,October,4,0.005340663447567562,-1.8191437053673494,-0.8855734204895405,12
1978,Qtr 4,October,5,0.006580678669359408,-1.8185786398693455,-0.8855734204895405,12
1978,Qtr 4,October,6,0.006318298022972568,-1.8181531490760798,-0.8855734204895405,12
1978,Qtr 4,October,9,0.008565426878112903,-1.8211773555306272,-0.8855734204895405,12
1978,Qtr 4,October,10,0.0011422623123231723,-1.6147149676583894,-0.5903822803263603,12
1978,Qtr 4,October,11,0.009939727800141296,-1.8207943140564162,-0.8855734204895405,12
1978,Qtr 4,October,12,-0.006134400531220607,-1.8239011085702908,-0.8855734204895405,12
1978,Qtr 4,October,13,-0.0028144490959234325,-1.8244974568927934,-0.8855734204895405,12
1978,Qtr 4,October,16,-0.019201744214592864,-1.8182927442175474,-0.8855734204895405,12
1978,Qtr 4,October,17,-0.030990937287146525,-1.8151691818703082,-0.8855734204895405,12
1978,Qtr 4,October,18,-0.020714503840720933,-1.81371066156803,-0.8855734204895405,12
1978,Qtr 4,October,19,-0.022931648696225437,-1.813083081457013,-0.8855734204895405,12
1978,Qtr 4,October,20,-0.04361785576169275,-1.8144845990325196,-0.8855734204895405,12
1978,Qtr 4,October,23,-0.016895295375111696,-1.8161340226146732,-0.8855734204895405,12
1978,Qtr 4,October,24,-0.020912100757258023,-1.8220730068923707,-0.8855734204895405,12
1978,Qtr 4,October,25,0.002010496818795504,-1.819583736837255,-0.8855734204895405,12
1978,Qtr 4,October,26,-0.04155561279039399,-1.8207161241374537,-0.8855734204895405,12
1978,Qtr 4,October,27,-0.03263007655642658,-1.8165349837496798,-0.8855734204895405,12
1978,Qtr 4,October,30,-0.015534480292192732,-1.8122879403839431,-0.8855734204895405,12
1978,Qtr 4,October,31,-0.034045944102487846,-1.8162568694660957,-0.8855734204895405,12
1978,Qtr 4,November,1,0.06763547013786786,-1.8167661429180715,-0.8855734204895405,12
1978,Qtr 4,November,2,-0.007152429214174472,-1.8148464081973892,-0.8855734204895405,12
1978,Qtr 4,November,3,0.01296000392332708,-1.6232034624318477,-0.5903822803263603,12
1978,Qtr 4,November,6,-0.005325372528260375,-1.8104966502798567,-0.8855734204895405,12
1978,Qtr 4,November,7,-0.03351041661419252,-1.810837233835952,-0.8855734204895405,12
1978,Qtr 4,November,8,0.008954757344870279,-1.8089354110704141,-0.8855734204895405,12
1978,Qtr 4,November,9,0.00680893636685409,-1.8098835351290743,-0.8855734204895405,12
1978,Qtr 4,November,10,0.015611433770645,-1.807304960478156,-0.8855734204895405,12
1978,Qtr 4,November,13,-0.03204650115953067,-1.8079906159650112,-0.8855734204895405,12
1978,Qtr 4,November,14,-0.03293571240503623,-1.8121885181556396,-0.8855734204895405,12
