Year,Quarter,Month,Day,Sum of Open,Sum of Close,Sum of High,Sum of Low
1965,Qtr 3,August,25,-0.7168229038316897,-0.7167128272871514,-0.7175197726745364,-0.7157423035497993
1965,Qtr 3,August,26,-0.7168817211921729,-0.7167716444418373,-0.7175782322018356,-0.7158014951283888
1965,Qtr 3,August,27,-0.7150429529604931,-0.7149328826438625,-0.7157506506722724,-0.7139510279636072
1965,Qtr 3,August,30,-0.7116539223922909,-0.711543863933611,-0.7123822382955188,-0.7105404351119076
1965,Qtr 3,August,31,-0.7105342380590088,-0.7104241835180163,-0.7112693659001882,-0.7094136269269706
1965,Qtr 3,September,1,-0.7111845210627146,-0.7110744642464328,-0.7119156927107593,-0.7100680472750281
1965,Qtr 3,September,2,-0.712255385108072,-0.7121453245449215,-0.7129800418311381,-0.7111457245590591
1965,Qtr 3,September,3,-0.710463215543317,-0.7103531612508265,-0.7111987754714296,-0.7093421525393977
1965,Qtr 3,September,6,-0.7127314375403576,-0.7126213753115374,-0.7134531980546139,-0.7116248058154577
1965,Qtr 3,September,7,-0.712265368642281,-0.7121553080441989,-0.7129899646275001,-0.711155771612257
1965,Qtr 3,September,8,-0.7100415238021354,-0.709931470985111,-0.7107796492193686,-0.7089177778372073
1965,Qtr 3,September,9,-0.7081406058894429,-0.7080305597235803,-0.7088902961151555,-0.7070047655718338
1965,Qtr 3,September,10,-0.708575613485363,-0.7084655657974432,-0.7093226572109295,-0.7074425408492244
1965,Qtr 3,September,13,-0.7111212605712018,-0.7110112039762638,-0.7118528170835609,-0.7100043842965432
1965,Qtr 3,September,14,-0.7111423518774993,-0.7110322952087644,-0.7118737800745237,-0.7100256097936414
1965,Qtr 3,September,16,-0.7119357907230887,-0.7118257312781736,-0.7126623917951602,-0.7108240967947378
1965,Qtr 3,September,17,-0.7093335342484465,-0.7092234839086217,-0.7100759669340467,-0.7082052837884534
1965,Qtr 3,September,20,-0.7087387361737244,-0.7086286879150512,-0.709484787493129,-0.7076067013853067
